timestamp	from_account	to_account	amount	location	is_fraud
2025-06-03 08:30:04	33144921	11743438	443972	HU	0
2025-06-03 08:28:29	91197366	85976060	169887	SK	0
2025-06-03 08:28:55	91197366	82769299	700106	SK	0
2025-06-03 08:27:11	86959179	80755132	695404	RO	0
2025-06-03 08:42:31	10405532	19471072	294556	HU	0
2025-06-03 08:37:40	48760320	52377268	430364	RO	0
2025-06-03 08:08:20	96465209	62803342	342746	RO	0
2025-06-03 08:05:17	19975362	14361202	1561087	PL	1
2025-06-03 08:29:35	91197366	61597391	762914	RO	0
2025-06-03 08:52:41	91695474	43960006	980029	HU	0
2025-06-03 08:20:25	98897961	71088380	756031	HU	0
2025-06-03 08:18:33	35495264	78544432	404454	SK	0
2025-06-03 08:13:23	80129875	72520857	3776315	RO	1
2025-06-03 08:37:57	48760320	56096662	972214	DE	0
2025-06-03 08:03:58	65302566	79523244	431922	HU	0
2025-06-03 08:53:22	36928156	17034690	677844	HU	0
2025-06-03 08:29:46	51183704	35946286	707695	SK	0
2025-06-03 08:50:47	77531948	44948303	2565382	HU	1
2025-06-03 08:45:24	15529557	36959942	174888	DE	0
2025-06-03 08:51:11	77531948	76486559	357595	HU	0
2025-06-03 08:16:27	31921035	83511916	587559	SK	0
2025-06-03 08:49:42	49995939	91400275	758857	SK	0
2025-06-03 08:47:21	44536464	10496209	290355	HU	0
2025-06-03 08:12:08	11539777	54083216	800483	RO	0
2025-06-03 08:45:45	50558554	24003383	298100	PL	0
2025-06-03 08:04:05	13800329	37643929	651301	DE	0
2025-06-03 08:53:32	46364317	30946601	834513	DE	0
2025-06-03 08:11:34	99720150	48066579	527596	SK	0
2025-06-03 08:47:41	71435883	23586969	3257055	HU	1
2025-06-03 08:30:23	33144921	27709607	668764	PL	0
2025-06-03 08:37:49	33219211	67690399	753902	HU	0
2025-06-03 08:14:22	44114523	71911644	712942	HU	0
2025-06-03 08:25:50	28522867	20696077	488559	SK	0
2025-06-03 08:29:04	77430106	58889220	724589	SK	0
2025-06-03 08:11:35	25706180	78701141	304909	RO	0
2025-06-03 08:13:34	42271234	75635891	300561	PL	0
2025-06-03 08:14:38	77039604	84627711	122803	HU	0
2025-06-03 08:44:44	33602034	79280912	773809	PL	0
2025-06-03 08:46:47	54902871	30706832	216032	SK	0
2025-06-03 08:32:52	97925694	23511423	1735924	HU	1
2025-06-03 08:12:05	99720150	88966940	33563064	SK	1
2025-06-03 08:52:25	95483233	49396480	118616	HU	0
2025-06-03 08:18:17	28348418	85815147	1962998	SK	1
2025-06-03 08:31:06	99643397	66627293	41135	DE	0
2025-06-03 08:55:48	65293540	13419411	566540	DE	0
2025-06-03 08:26:51	56476420	35745120	858579	DE	0
2025-06-03 08:18:05	32457008	42211358	930371	HU	0
2025-06-03 08:56:48	61458187	14892634	14617	RO	0
2025-06-03 08:06:22	42175556	65323282	910735	RO	0
2025-06-03 08:54:22	63053434	69263635	733119	SK	0
2025-06-03 08:43:31	57053743	63026548	24603	SK	0
2025-06-03 08:50:27	16890164	59524766	84823	DE	0
2025-06-03 08:53:54	56406596	62438654	276067	DE	0
2025-06-03 08:30:45	22714849	62349451	706073	RO	0
2025-06-03 08:15:56	54869398	77734967	890842	PL	0
2025-06-03 08:26:19	54222749	77350600	83522	PL	0
2025-06-03 08:49:23	59408492	66506088	534548	RO	0
2025-06-03 08:11:38	80933229	63276388	55603	HU	0
2025-06-03 08:24:29	28085937	84920847	913830	SK	0
2025-06-03 08:26:24	89420327	37618072	300835	HU	0
2025-06-03 08:44:14	91797899	80268823	647173	RO	0
2025-06-03 08:10:46	68514404	89469096	638162	RO	0
2025-06-03 08:29:11	25755936	18433928	122339	PL	0
2025-06-03 08:53:32	42968839	36289310	868132	RO	0
2025-06-03 08:19:27	98373311	97457424	999488	DE	0
2025-06-03 08:24:00	46708249	34782135	74310	HU	0
2025-06-03 08:07:19	49962701	76374769	666639	RO	0
2025-06-03 08:14:39	65011813	53768884	632112	DE	0
2025-06-03 08:38:36	12739247	28100454	558963	DE	0
2025-06-03 08:12:27	53410858	97805813	943859	PL	0
2025-06-03 08:29:40	69685476	14510762	806168	HU	0
2025-06-03 08:11:58	58949758	62660376	688458	PL	0
2025-06-03 08:57:45	46296291	76891482	773062	SK	0
2025-06-03 08:06:03	94897515	42438772	517711	RO	0
2025-06-03 08:04:36	13800329	33397136	189332	SK	0
2025-06-03 08:05:18	65752707	96671176	812452	SK	0
2025-06-03 08:59:29	60362370	51289732	623250	HU	0
2025-06-03 08:57:17	44453798	14944113	705227	DE	0
2025-06-03 08:13:07	82278210	22600562	953415	SK	0
2025-06-03 08:20:16	47748924	20133072	502362	PL	0
2025-06-03 08:42:51	10405532	56167393	123103	HU	0
2025-06-03 08:17:57	47897923	61813963	4534013	HU	1
2025-06-03 08:04:57	13800329	93422416	200826	SK	0
2025-06-03 08:29:28	36182009	10814269	969102	RO	0
2025-06-03 08:37:26	23948422	41965232	570326	HU	0
2025-06-03 08:51:53	14902119	26758903	666386	PL	0
2025-06-03 08:15:58	48732261	83309554	605546	RO	0
2025-06-03 08:42:27	54350395	26641188	820496	DE	0
2025-06-03 08:24:43	73755784	18987873	4455707	SK	1
2025-06-03 08:02:35	73422325	47774321	815438	SK	0
2025-06-03 08:28:44	89404346	14474198	4518387	HU	1
